"","Hotelling-T2"
"367.897479488884",9.6729
"386.077390197132",9.6697
"557.093811379437",9.6695
"469.205173310579",9.6672
"495.259616830826",9.6612
"567.35251733285",9.6612
"490.925877986259",9.6546
"485.869106422537",9.6462
"444.283555444344",9.6459
"587.932370549809",9.6364
"523.989414582387",9.6354
"399.952268670558",9.6312
"543.736112743247",9.6264
"274.0631749443",9.6204
"571.953357087696",9.6197
"506.908723526949",9.6196
"534.627239758418",9.6134
"527.24650457434",9.6101
"141.073446127998",9.605
"567.935298336121",9.5939
"202.990230659377",9.5898
"517.97271631104",9.588
"510.79940382431",9.5857
"293.20074128436",9.5825
"451.856147669742",9.578
"581.235494573939",9.5669
"456.234561770417",9.5654
"409.183231413477",9.5611
"318.228589588069",9.5567
"556.918448897571",9.5492
"218.045596963596",9.5403
"205.097052676079",9.5218
"408.20638588625",9.5146
"270.97749911637",9.5103
"495.222956016959",9.4974
"455.230004771305",9.4933
"561.264749040532",9.4932
"462.926637899387",9.4928
"436.669824849405",9.4908
"542.3091",9.4792
"459.178854636476",9.4744
"525.912458379743",9.4679
"579.316630292887",9.462
"136.006211121506",9.4603
"266.932509206525",9.4534
"89.0515672847779",9.4524
"394.009574700961",9.4502
"574.835633413674",9.4479
"513.847297669743",9.4424
"148.042560724654",9.442
"555.071210303364",9.4344
"177.123275651178",9.4329
"250.213951585696",9.4326
"274.926138290337",9.4316
"586.791994883584",9.418
"484.788721220637",9.4162
"217.012146291729",9.4062
"548.92500424738",9.4062
"525.191415582506",9.4021
"311.168976843755",9.3994
"266.151557825701",9.3895
"218.922259398294",9.3826
"473.025846595967",9.3815
"460.279663073899",9.3784
"418.999529384553",9.3738
"568.834785951932",9.3714
"403.272709960555",9.3631
"199.105235976951",9.36
"344.972430150566",9.3513
"560.73983348502",9.3449
"203.042453896967",9.3407
"509.093446272403",9.3383
"202.041521164053",9.338
"500.257705028862",9.3308
"528.859004884128",9.3292
"432.976583972952",9.3291
"305.172099935876",9.323
"554.371727889571",9.32
"321.238334321703",9.3146
"504.314989606096",9.3004
"563.923634163827",9.2917
"532.259733721335",9.291
"433.035974494001",9.2851
"441.074386166704",9.2812
"559.334373813025",9.2688
"135.120646320783",9.2688
"569.245504861463",9.2645
"545.423067292056",9.2637
"291.244510173552",9.2595
"514.81325606277",9.2532
"504.245152358271",9.2474
"362.079290592064",9.2414
"172.094482846766",9.2374
"532.78673731962",9.2302
"557.993296993309",9.226
"554.782840983956",9.2148
"496.813392128306",9.2139
"544.294842191934",9.2075
"440.771327767003",9.2031
"286.951465897875",9.1981
"549.807822436008",9.198
"394.791193732626",9.1712
"445.713660265919",9.1686
"562.940083431147",9.1671
"362.157228216389",9.1656
"332.885213421124",9.1624
"544.06198644595",9.1595
"366.92795038243",9.1518
"574.250549642536",9.1505
"547.733606202188",9.1452
"524.976970064756",9.1209
"306.160259388395",9.1145
"544.888241332369",9.1134
"239.077322436117",9.1128
"542.659027598467",9.1062
"580.220725008148",9.1032
"293.049381088794",9.1
"589.939423191853",9.094
"594.369242685896",9.0924
"365.277991674324",9.0921
"527.281162826368",9.092
"353.961698642826",9.0887
"484.984713977005",9.0849
"140.122925226314",9.0783
"580.21815568645",9.0751
"207.135471298539",9.07
"556.329146721216",9.0658
"152.974818407115",9.0555
"490.080643665849",9.0492
"417.290707429969",9.0461
"529.937715457092",9.0425
"589.886821164029",9.0361
"583.774072612841",9.0356
"562.096302651799",9.0327
"528.680912459572",9.03
"588.239078354136",9.027
"395.002344076307",9.0256
"470.963858128045",9.0256
"553.204173575482",9.0218
"395.04085979986",9.0166
"505.276231206993",9.0159
"536.885497262743",9.0137
"329.030860911882",9.0125
"587.351159983123",9.0101
"408.307531069717",9.0062
"519.2770361251",8.994
"581.284358935492",8.9914
"489.29657",8.9911
"368.833921818854",8.9827
"540.213627716426",8.9824
"331.038061845553",8.9737
"573.862786293199",8.9704
"479.246086030601",8.9682
"584.253906235676",8.9575
"466.196460469935",8.9526
"577.901239775654",8.95
"446.190858693929",8.9482
"532.241316748627",8.9479
"164.94744589467",8.9362
"345.152102543797",8.9358
"598.875666147103",8.9311
"241.105612503711",8.9264
"469.041589736346",8.9254
"508.09534021564",8.9207
"496.426847065798",8.9182
"549.331912217578",8.9179
"170.024535993857",8.9165
"585.053988623422",8.9128
"140.06974",8.9095
"563.275895258725",8.9085
"551.942896305987",8.9072
"422.07009405727",8.9012
"541.822666019345",8.8965
"588.298043081399",8.8902
"158.021327645806",8.8809
"455.177908983653",8.8786
"306.971264138233",8.8756
"529.850120034526",8.8753
"580.294275791962",8.8702
"573.855802262799",8.8564
"570.757300188456",8.8495
"166.950658831742",8.8432
"496.897851062979",8.8401
"395.079300891564",8.8361
"428.372512650216",8.8336
"157.013847750044",8.8321
"399.027838255825",8.8251
"564.581953924781",8.825
"565.715235727254",8.8205
"492.838862462026",8.8132
"334.2346075515",8.8062
"535.400578783705",8.8034
"203.08135061721",8.8023
"121.037391392206",8.8021
"466.870554864353",8.7878
"426.915708421086",8.7878
"597.251330151507",8.7864
"426.829871573189",8.7846
"525.266796482867",8.7839
"293.941129777386",8.7828
"561.744609146644",8.7799
"549.195481725149",8.7794
"520.943278638182",8.7794
"466.044457061704",8.7725
"415.28165698375",8.7722
"361.008921056625",8.7715
"271.187770645351",8.7705
"140.052059210678",8.7558
"566.779207079928",8.752
"550.23652406675",8.74
"448.941071416367",8.74
"383.053494834653",8.7365
"145.047034712115",8.7316
"458.71571230356",8.7283
"581.256352143747",8.727
"566.836655926772",8.7221
"483.200886705631",8.7202
"283.103636335502",8.7183
"198.026808226363",8.716
"118.084378571429",8.7152
"126.136400990872",8.7098
"215.032914588561",8.7067
"438.337328674016",8.7061
"541.990741220653",8.7041
"465.040228686615",8.6984
"156.045283595506",8.6963
"504.341611335748",8.6943
"376.865985051957",8.6867
"367.041935535782",8.6822
"506.152391610149",8.6809
"495.360943730211",8.6772
"376.928271935166",8.67
"589.934485684682",8.6602
"586.03874921844",8.6576
"231.145032019662",8.6523
"531.407367708605",8.6446
"435.19842153943",8.642
"404.929582191111",8.6186
"379.920651709928",8.6169
"484.275881961282",8.6066
"456.653743539875",8.6047
"352.807993526833",8.6044
"555.226520092692",8.5963
"518.754545207602",8.5907
"185.998495292985",8.588
"496.330271244493",8.5841
"490.113034189133",8.5789
"544.916983200935",8.5767
"594.852386925254",8.576
"301.140913983515",8.5732
"437.29211079582",8.5715
"546.777438158971",8.5712
"462.868347305676",8.5693
"487.140564786586",8.5681
"570.036402141689",8.5554
"457.91070543301",8.5473
"492.826404040573",8.5462
"243.062236703807",8.5444
"330.042728807206",8.539
